year,nominal_wage_index,BasicReproductionCostIndex,CPIAllItems,CheapGoodsIndex,LocalReproductionCostIndex,CPIRealWage,CheapGoodsRealWage,ReproductionRealWage,inflation
1984,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
1985,102.906234658812,103.48758285752308,103.5456441520937,102.17230547893406,105.99135717383827,99.38248537780837,100.71832496725763,99.43824352385208,-0.5617564761479232
1986,105.14482081492392,103.43846582449135,105.51098989250762,102.58686098257344,112.63959582281761,99.65295645699396,102.49345755182529,101.64963292604111,2.223882204494676
1987,107.70741286205205,107.54165952672633,109.37750681854645,105.68210052653762,118.44588788908499,98.47309195000666,101.91641945554049,100.15412941929218,-1.471233553629303
1988,111.17329405989199,111.9238011718591,113.83763837638377,108.76909010096615,124.45514477690756,97.65952249669604,102.21037424942519,99.32944815659476,-0.8234121423440377
1989,115.51300932744233,118.40531038142952,119.33258463019412,111.05544585094155,131.1797511346691,96.79921849125411,104.01381800086031,97.55728772242566,-1.7841239099358197
1990,120.14727540500738,126.50723939183624,125.77410556714264,112.69945224981446,139.47123463346205,95.52624116326436,106.60857085505948,94.97264819199013,-2.649355666579678
1991,123.86843397152678,131.84102975603082,131.1005936146318,115.62015380095207,147.47658043107523,94.48350351153722,107.13394672072023,93.95287203137205,-1.0737577397616271
1992,126.89248895434464,136.17840220025252,135.0713941922028,118.65310088941608,154.26042483448018,93.94475396750566,106.94409838695039,93.18106755853047,-0.8214804466901926
1993,130.1620029455081,140.71323900036057,139.05823840847106,122.35702011184549,160.34104536728776,93.60251103078765,106.37885985334405,92.50160387905972,-0.7291864080050003
1994,133.53951890034367,144.94926209089402,142.68410075405103,125.64792917036489,166.03497430385093,93.591029550328,106.28071611055256,92.12845720911943,-0.4033948107841967
1995,137.23122238586157,149.56182352868615,146.6869886090165,129.65064894067382,171.82870169980734,93.55377984590126,105.84692287090402,91.75551564436525,-0.40480604587533886
1996,141.83603338242517,154.7119147113262,150.9866837798813,130.82189583538394,177.28543856061822,93.93943216158283,108.41918508878709,91.67751148777012,-0.08501304368171425
1997,147.29504172803146,158.19695177887954,154.51628429327775,130.12457899128484,182.44221647443456,95.32654917358737,113.19540310512484,93.10864720953266,1.561054285328689
1998,153.2253313696613,159.15427603619497,156.91480827851757,129.91986265286923,188.3793426954644,97.6487388607023,117.93834155987493,96.27471858488721,3.4004053009486723
1999,158.8905252822779,163.6792529519161,160.34814695973049,129.4544747699805,194.37817980699035,99.0909644388852,122.73853458105677,97.07432213718315,0.8305436401675026
2000,165.04663721158568,172.76169932348077,165.76287502005457,129.9409323357332,201.54148708105046,99.567914221817,127.01666383703369,95.53427516509355,-1.5864617317782992
2001,171.27147766323029,178.52074013115507,170.4476175196535,129.9056296642485,210.19123418839874,100.48335092949117,131.8429987259945,95.93926035563211,0.42391611789456274
2002,176.259204712813,181.2023760067897,173.1509706401412,126.91105556040729,219.00196645203792,101.79510057678603,138.88404279240817,97.2720162931023,1.38916636685531
2003,180.9720176730486,188.8871159433164,177.08166212096904,123.0807222553055,226.0441764311081,102.19692739806223,147.03522562831537,95.80961452519449,-1.5034146752970212
2004,184.7815414825724,197.6546780395472,181.82255735600833,120.49040002955516,233.69650239633208,101.62740210543315,153.35789526572012,93.48705698005331,-2.4241382836692527
2005,189.86745213549338,209.2291024633424,187.99133643510345,121.78156417358991,241.56971963803255,100.99797987288504,155.908206159064,90.74619634654255,-2.9318075913926323
2006,197.22140402552776,219.26459390287155,194.05583186266645,121.83222391494485,250.53625526496162,101.6312687603749,161.87950748006915,89.94676272854689,-0.8809555112842093
2007,205.0957290132548,228.06814541722534,199.59160917696133,120.32129932105212,260.92729889469985,102.75769099662573,170.45671063275333,89.92738930640883,-0.02153876532113852
2008,212.84241531664216,241.66726438456982,207.25413123696458,119.46074695465549,269.6472917252363,102.69634387808087,178.16933238951884,88.07250574821002,-2.0626458440583417
2009,219.2145311732941,233.32049269691993,206.51724691159959,118.71163115813886,275.8652431745242,106.14829243154188,184.66137566694937,93.95425521325755,6.678303762428239
2010,224.46735395189,242.21795853736347,209.9042194769774,121.58293120874683,279.7396232988281,106.93799034207119,184.62077836115006,92.67163975261754,-1.3651488777477239
2011,229.0132547864507,256.7379358070618,216.5305631317183,124.02244999538433,285.8152760012587,105.76486361749264,184.65467727413363,89.20117475687498,-3.744905134954768
2012,232.39077074128622,263.0676851797193,221.01131076528156,125.73173751442707,294.2634862225166,105.14881339629258,184.83063650863855,88.33877508844326,-0.9668030390656446
2013,237.20176730486014,266.4420168255024,224.24875661800095,125.81514495992784,301.6922297090953,105.7761794902275,188.53196678381522,89.02566124178823,0.7775590646998065
2014,242.6607756504664,270.431652253321,227.88657147441035,125.17963213609069,309.92226756377113,106.48313943224824,193.8500469362736,89.73090746905588,0.7921830823050424
2015,247.7270495827197,263.72791748573076,228.1569067864592,124.33911597326112,319.27885315482575,108.57749303841018,199.23500954920166,93.93281225000504,4.682784226157755
2016,253.7751595483555,265.3910062078206,231.03529600513397,123.22116518303332,330.9949317133788,109.84259285763687,205.95094939363432,95.62311970347291,1.7994856248624513
2017,259.7152675503191,274.08540558103397,235.9566019573239,121.57916459824773,341.28112011806826,110.06908278722045,213.61823665143217,94.75705829712034,-0.9057029398729322
2018,267.46195385370646,283.2215056949034,241.72003850473288,121.47516555316432,350.89773731452857,110.64947511518352,220.17829951970734,94.43560904652004,-0.339235151847328
2019,276.9464899361806,287.6712789096781,246.10051339643832,122.01931228607,362.2506278737431,112.53389361689511,226.96939094926984,96.27185966769215,1.9444472691096282
2020,290.8296514482082,289.41267985188796,249.1363709289267,122.38755552341313,374.4187829587415,116.73512396597272,237.630084369625,100.48960245869165,4.381075431136527
2021,305.2724594992637,308.17671196007205,260.8404460131558,134.71118025502557,381.6278669558723,117.03417325235937,226.6125639470634,99.05760158113938,-1.4250239253766783
2022,324.77172312223865,340.05074495023354,281.71498475854327,147.67332184255707,401.2356229046333,115.28379415124088,219.92579232997565,95.50684065396446,-3.584541590446688
2023,340.7069219440354,346.1650038618214,293.3113268089202,147.6322586005852,419.8109337639282,116.15880152013065,230.7808098132591,98.42327160258965,3.053635664896359
2024,354.89445262641135,354.14499563816037,301.9626183218354,144.75583294512006,437.2624798520312,117.52926723140298,245.16763532489855,100.21162433395409,1.817001916564398
2025,369.2292587137948,362.0262800091417,309.90823038665167,146.65083966734073,451.7104174667886,119.14148206168397,251.77439116703707,101.98962868233524,1.7742496044729883
